feature,gain
distance_ft,78433.30960440636
empty_net,28243.089602708817
angle_deg,19958.808763980865
seconds_since_last_event,13919.520796775818
distance_from_last_event_ft,13764.310265421867
shot_type,11219.82895386219
strength_state,11208.40177500248
seconds_remaining_in_period,11191.188698768616
y_norm,8138.377920150757
x_norm,5312.4386113882065
last_event_type,3381.4854893684387
score_diff,2514.757466673851
period_num,1898.6548693180084
is_rebound,913.2205089330673
is_rush,108.23583936691284
