feature,auc_drop_mean,auc_drop_std
distance_ft,0.17653973403017817,0.00369235875832744
angle_deg,0.02657312034844861,0.0008839657487336539
shot_type,0.02291663957561485,0.00011017578101452117
empty_net,0.021014437592860813,0.0004396078415701615
strength_state,0.009210165429545928,0.00029824848117104114
y_norm,0.00720427598257493,0.0006614038701411029
seconds_since_last_event,0.0032914014030093197,0.00025005772673514833
x_norm,0.0021290431441930435,0.00027868643319814727
distance_from_last_event_ft,0.0005608162671094282,0.0002596321774027657
period_num,0.00030548457195822554,0.00010638302825028708
is_rush,0.00015853594539683158,8.623957613550744e-06
score_diff,-1.1919884850571568e-05,5.758940013815887e-05
seconds_remaining_in_period,-5.3978720515379663e-05,0.0001857498698012171
last_event_type,-0.0003518379398727012,0.0003858485460843944
is_rebound,-0.000574240795204369,0.00012913213833872213
