bin,n,mean_pred,actual_rate,pred_vs_actual_gap
0,11948,0.005995275019790669,0.0056076330766655505,0.00038764194312511813
1,11948,0.012212366643429052,0.011382658185470372,0.0008297084579586798
2,11948,0.01756332085385269,0.017492467358553733,7.085349529895729e-05
3,11948,0.026228920663856833,0.027535989286909944,-0.0013070686230531106
4,11948,0.04000792481881779,0.04327084030800134,-0.003262915489183546
5,11947,0.054597327718064935,0.05934544237046958,-0.004748114652404642
6,11948,0.07355698900871949,0.08068295949112822,-0.007125970482408733
7,11948,0.09609713411371645,0.10905590893873451,-0.01295877482501806
8,11948,0.12756721486874242,0.12780381653833278,-0.00023660166959035833
9,11948,0.23100168383783345,0.22380314697020423,0.007198536867629224
