dimension,segment,val_n,val_oe,test_n,test_oe
net,goalie in net,121686,1.0131566460907993,118477,1.0310204540877306
net,empty net,843,1.0515222550877117,1002,1.0290456483541175
strength,5v5,98008,1.0287778117334654,97271,1.0343219548580158
strength,PP,17938,0.9724218088142053,15683,1.0269090312381997
strength,other,3588,1.0047454873946355,3940,1.000362072194803
strength,PK,2995,1.0385722345706976,2585,1.0932044178860842
shot_type,wrist-snap,84108,1.0342340398845287,82556,1.0688203393263662
shot_type,slap,14393,1.0761377329551636,13955,1.0271085691222728
shot_type,tip-in,10789,0.9645903094162054,10622,0.9008404801418007
shot_type,backhand,8760,1.0171004807547284,8460,1.0329023541454365
shot_type,deflected,2479,0.8064887886508969,2039,0.9170919856947614
shot_type,wrap-around,990,0.7667902302203465,838,0.6791503798840935
shot_type,poke,456,0.7068328163695317,481,0.9569590266285432
shot_type,bat,463,0.854112894294334,443,0.6805926322998759
shot_type,between-legs,82,0.978383514348931,75,0.25407005847652353
shot_type,cradle,9,3.817577844098038,10,0.0
distance,20-40 ft,40237,1.0193482248881762,39571,1.0772837370331998
distance,<20 ft,36841,1.0183370133580167,34355,1.0140824389120746
distance,40-60 ft,30408,0.9811806784084085,29542,1.009485429378578
distance,60+ ft,15043,1.0205762622066943,16011,0.9419618842728614
angle,15-30 deg,30149,1.0379477360587022,29669,1.0857932759707387
angle,30-45 deg,29592,0.9709197769972022,29190,0.9930877547742352
angle,0-15 deg,27991,1.0997697751809257,27410,1.0828226871698632
angle,45-60 deg,19418,0.9455341691691824,18781,0.952083231883189
angle,60+ deg,15379,0.9291314343513549,14429,0.9507353547459234
