feature,auc_drop_mean,auc_drop_std
distance_ft,0.15049344465204395,0.002077763426948558
empty_net,0.04270948453987452,0.0003272684996191042
angle_deg,0.019938676860563425,0.0008912674100925098
x_norm,0.016669227036656336,0.0009932278054163993
shot_type,0.016463636584935437,0.00025506243359389963
y_norm,0.013113097985353503,0.0003694979504225661
strength_state,0.007200658118740526,0.00010535242372554039
seconds_since_last_event,0.005689940273983581,0.0006548734576458887
distance_from_last_event_ft,0.0021675436282582172,0.00047685406147417506
last_event_type,0.001197732045059352,5.7798577751409246e-05
score_diff,0.00041013890193986047,0.00010023145437875983
is_rush,0.0002116947754803311,4.1714348239553324e-05
period_num,8.698278469546998e-05,0.00010755558456675435
is_rebound,-0.00023572672140640774,4.161384911629585e-05
seconds_remaining_in_period,-0.0003640791536591026,0.00014353243092138146
