bin,n,mean_pred,actual_rate,pred_vs_actual_gap
0,7944,0.0052665946614288495,0.007049345417925478,-0.0017827507564966288
1,7943,0.016495894808199234,0.016366612111292964,0.0001292826969062702
2,7943,0.025863101513040606,0.03134835704393806,-0.005485255530897456
3,7943,0.03866486496006323,0.043812161651768856,-0.005147296691705626
4,7943,0.05785698347883102,0.0692433589323933,-0.011386375453562289
5,7943,0.08329783806098108,0.09832556968399848,-0.015027731623017404
6,7943,0.1143278515651414,0.12577111922447437,-0.01144326765933297
7,7943,0.14709634974472235,0.17147173611985395,-0.02437538637513159
8,7943,0.18579441275613973,0.18141760040287044,0.004376812353269283
9,7944,0.3282244040948473,0.338368580060423,-0.010144175965575652
