feature,gain
distance_ft,77760.4506676197
empty_net,40325.51400351524
shooter_prior_pct,24387.978671193123
angle_deg,19665.882964491844
distance_from_last_event_ft,14030.571041107178
seconds_since_last_event,13426.33771777153
seconds_remaining_in_period,11392.550273537636
game_seconds,10556.680752277374
y_norm,8920.353875756264
shot_type,8726.003371834755
x_norm,7992.294309020042
strength_state,6969.5711406469345
last_event_type,4169.545600891113
score_diff,2557.5552800893784
is_rebound,1191.7645227909088
is_rush,203.660200715065
period_num,188.36966753005981
