bin,n,mean_pred,actual_rate,pred_vs_actual_gap
0,7944,0.0044703312911275085,0.007049345417925478,-0.00257901412679797
1,7943,0.014917596729144477,0.02077300767971799,-0.005855410950573512
2,7943,0.024469074758499756,0.030844768978975198,-0.006375694220475441
3,7943,0.03730719528563248,0.04658189600906459,-0.00927470072343211
4,7943,0.05573173453215493,0.07100591715976332,-0.015274182627608386
5,7943,0.07952871920471966,0.09832556968399848,-0.01879685047927883
6,7943,0.10976515250491391,0.12199420873725293,-0.012229056232339025
7,7943,0.14401560353198983,0.16228125393428175,-0.018265650402291916
8,7943,0.18935994444474988,0.18960090645851693,-0.00024096201376705428
9,7944,0.34652769562105684,0.334718026183283,0.01180966943777384
